v1,v2,v3,v4
50,80,62,Municipal - DAEM
3,100,100,Municipal - DAEM
8,87.5,62.5,Municipal - DAEM
603,84.4,62.2,Municipal - DAEM
351,82.9,63.8,Municipal - DAEM
139,85.6,55.4,Municipal - DAEM
201,90,64.2,Municipal - DAEM
147,78.9,46.3,Municipal - DAEM
23,82.6,34.8,Municipal - DAEM
20,100,65,Municipal - DAEM
3,100,33.3,Municipal - DAEM
15,86.7,73.3,Municipal - DAEM
7,100,85.7,Municipal - DAEM
11,81.8,27.3,Municipal - DAEM
7,100,28.6,Municipal - DAEM
14,100,71.4,Municipal - DAEM
5,100,100,Municipal - DAEM
20,90,55,Municipal - DAEM
12,83.3,25,Municipal - DAEM
8,50,12.5,Municipal - DAEM
20,80,50,Municipal - DAEM
132,80.3,48.5,Municipal - DAEM
106,84.9,49.1,Municipal - DAEM
12,91.7,50,Municipal - DAEM
5,100,60,Municipal - DAEM
8,62.5,37.5,Municipal - DAEM
10,60,40,Municipal - DAEM
159,86.8,64.8,Municipal - DAEM
19,100,68.4,Municipal - DAEM
4,50,0,Municipal - DAEM
80,91.3,62.5,Municipal - DAEM
7,85.7,14.3,Municipal - DAEM
9,77.8,55.6,Municipal - DAEM
33,81.8,45.5,Municipal - DAEM
24,83.3,50,Municipal - DAEM
28,78.6,50,Municipal - DAEM
3,100,66.7,Municipal - DAEM
6,100,100,Municipal - DAEM
4,100,100,Municipal - DAEM
22,100,68.2,Particular Subvencionado
561,80.2,62,Municipal - DAEM
304,85.2,55.3,Municipal - DAEM
97,79.4,50.5,Municipal - DAEM
40,100,67.5,Municipal - DAEM
88,88.6,70.5,Municipal - DAEM
84,84.5,63.1,Municipal - DAEM
5,60,60,Municipal - DAEM
58,81,48.3,Municipal - DAEM
4,100,75,Municipal - DAEM
2,100,100,Municipal - DAEM
10,100,60,Municipal - DAEM
6,100,100,Municipal - DAEM
15,100,93.3,Municipal - DAEM
12,75,66.7,Municipal - DAEM
13,92.3,30.8,Municipal - DAEM
22,95.5,59.1,Municipal - DAEM
26,100,76.9,Municipal - DAEM
5,100,100,Municipal - DAEM
3,100,100,Municipal - DAEM
6,66.7,33.3,Municipal - DAEM
47,80.9,55.3,Municipal - DAEM
10,100,90,Municipal - DAEM
3,100,100,Municipal - DAEM
7,100,85.7,Municipal - DAEM
2,50,50,Municipal - DAEM
6,83.3,66.7,Municipal - DAEM
4,100,100,Municipal - DAEM
19,68.4,42.1,Municipal - DAEM
7,100,57.1,Municipal - DAEM
6,100,100,Particular Subvencionado
6,83.3,83.3,Particular Subvencionado
32,96.9,75,Particular Subvencionado
7,85.7,57.1,Particular Subvencionado
415,93.7,74.5,Municipal - DAEM
4,100,75,Municipal - DAEM
9,100,100,Municipal - DAEM
4,100,75,Municipal - DAEM
2,50,50,Municipal - DAEM
59,89.8,54.2,Municipal - DAEM
5,100,60,Municipal - DAEM
13,84.6,53.8,Municipal - DAEM
71,83.1,54.9,Municipal - DAEM
2,100,50,Municipal - DAEM
32,90.6,56.3,Municipal - DAEM
3,100,33.3,Municipal - DAEM
3,33.3,0,Municipal - DAEM
54,90.7,77.8,Municipal - DAEM
8,100,62.5,Municipal - DAEM
1,100,100,Municipal - DAEM
2,100,50,Municipal - DAEM
8,100,87.5,Municipal - DAEM
37,91.9,75.7,Municipal - DAEM
16,100,81.3,Municipal - DAEM
11,90.9,72.7,Municipal - DAEM
90,77.8,50,Municipal - DAEM
13,84.6,76.9,Municipal - DAEM
79,82.3,55.7,Municipal - DAEM
4,100,100,Municipal - DAEM
8,100,87.5,Municipal - DAEM
31,90.3,77.4,Municipal - DAEM
4,100,100,Municipal - DAEM
